Student_ID,Dropout_Probability,Risk_Level,Actual_Status,Predicted_Dropout,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Admission grade,Age at enrollment,Tuition fees up to date,Debtor,Scholarship holder,Gender
1856,99.26,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,103.0,34,0,0,0,1
724,99.23,HIGH RISK,Dropout,Yes,0,0.0,1,11.0,115.5,33,0,0,0,1
1542,99.2,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,103.0,41,1,0,0,0
3668,99.2,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,109.8,23,0,0,0,1
2300,99.2,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,124.5,26,0,0,0,1
1135,99.18,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,114.3,20,0,0,0,0
3961,99.16,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,32,0,0,0,0
3715,99.16,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,40,0,1,0,1
1360,99.15,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,113.8,27,0,0,0,1
1888,99.15,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,160.0,51,0,1,0,1
2749,99.15,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,130.0,42,0,0,0,1
1302,99.14,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,114.8,19,0,0,0,1
1573,99.13,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,119.0,55,0,0,0,1
1614,99.13,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,100.0,37,0,0,0,0
961,99.13,HIGH RISK,Dropout,Yes,2,11.5,3,11.666666666666666,106.0,28,0,0,0,1
1417,99.12,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,115.8,18,0,0,0,0
641,99.11,HIGH RISK,Dropout,Yes,0,0.0,4,13.5,158.0,34,0,1,0,0
1205,99.1,HIGH RISK,Dropout,Yes,0,0.0,1,13.0,114.0,28,0,0,0,0
1517,99.09,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,140.0,39,0,0,0,0
3103,99.09,HIGH RISK,Dropout,Yes,4,11.5,3,11.75,100.2,26,0,0,0,0
1703,99.09,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,129.3,18,1,0,0,1
1539,99.08,HIGH RISK,Dropout,Yes,3,11.666666666666666,2,12.0,117.5,20,0,1,0,0
2797,99.07,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,141.0,36,1,0,0,1
1002,99.06,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,119.5,18,0,0,0,0
843,99.05,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,29,0,1,0,1
4009,99.05,HIGH RISK,Dropout,Yes,0,0.0,4,12.0,116.8,19,0,0,0,1
1019,99.04,HIGH RISK,Dropout,Yes,0,0.0,1,11.0,106.1,18,0,1,1,0
1632,99.04,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,131.0,42,0,1,0,1
3847,99.04,HIGH RISK,Dropout,Yes,0,0.0,3,12.0,107.4,26,0,0,0,1
2015,99.02,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,107.5,35,0,0,0,0
2238,99.02,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,102.5,24,0,1,0,1
969,99.02,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,134.1,49,0,0,0,1
1572,99.02,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,38,0,1,0,1
3793,99.02,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,116.1,24,0,1,0,1
478,99.02,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,140.0,28,1,0,0,0
1626,99.01,HIGH RISK,Dropout,Yes,0,0.0,1,10.0,150.0,48,0,0,0,0
1096,99.01,HIGH RISK,Dropout,Yes,3,10.666666666666666,3,13.666666666666666,114.9,21,0,1,0,0
4090,98.99,HIGH RISK,Dropout,Yes,1,13.0,3,12.0,100.0,34,0,0,0,0
358,98.98,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,128.2,33,1,0,0,0
1223,98.98,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,121.7,31,0,1,0,0
1366,98.98,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,26,0,1,0,1
3269,98.97,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,118.9,30,1,0,0,0
4364,98.97,HIGH RISK,Dropout,Yes,0,0.0,2,10.5,115.0,18,1,0,0,0
278,98.96,HIGH RISK,Dropout,Yes,5,13.2,7,11.555555555555555,140.0,29,0,1,0,0
3196,98.96,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,127.0,18,0,0,0,1
3507,98.95,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,126.0,29,0,0,0,1
581,98.94,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,118.5,31,1,0,0,0
377,98.93,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,119.9,34,0,0,0,0
1819,98.92,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,115.8,19,0,1,0,0
2848,98.92,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,110.0,53,0,0,0,0
3905,98.91,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,128.0,19,0,0,0,0
1211,98.91,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,128.0,32,0,0,0,0
4386,98.9,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,112.6,19,1,0,0,0
2162,98.89,HIGH RISK,Dropout,Yes,4,10.75,3,12.0,114.6,18,0,1,0,0
3851,98.88,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,107.0,47,0,0,0,1
2427,98.88,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,102.5,27,0,0,0,1
2341,98.88,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,95.8,43,0,0,0,1
496,98.88,HIGH RISK,Dropout,Yes,1,11.0,2,11.5,130.0,27,0,1,0,0
516,98.87,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.4,39,0,1,0,0
3642,98.86,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,106.1,20,0,0,0,0
892,98.86,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,133.3,32,0,0,0,0
3855,98.85,HIGH RISK,Dropout,Yes,0,0.0,2,11.0,120.5,32,0,0,0,1
2688,98.85,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,31,0,1,0,1
2877,98.84,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,169.2,54,0,1,0,0
2441,98.83,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,101.0,23,0,0,0,1
1787,98.8,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,103.5,42,1,0,0,1
2254,98.79,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,95.1,49,0,0,0,1
2022,98.79,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,128.2,30,0,0,0,0
718,98.78,HIGH RISK,Dropout,Yes,0,0.0,3,14.333333333333334,170.0,53,0,1,0,1
1358,98.78,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,97.0,36,0,1,0,1
1550,98.77,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,110.0,37,0,0,0,0
3300,98.77,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,132.5,19,0,0,0,0
2668,98.77,HIGH RISK,Dropout,Yes,1,11.0,2,11.0,150.0,49,0,0,0,1
4405,98.76,HIGH RISK,Dropout,Yes,2,10.5,1,11.0,120.0,28,0,1,0,1
3359,98.76,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,154.3,32,1,0,0,0
232,98.75,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,130.5,38,1,0,0,0
1274,98.75,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.3,35,1,0,0,0
792,98.74,HIGH RISK,Dropout,Yes,0,0.0,2,11.5,149.0,36,0,0,0,1
3956,98.74,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,111.8,27,1,0,0,0
915,98.74,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,135.5,32,1,0,0,0
512,98.74,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,101.8,32,0,0,0,0
960,98.73,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,128.4,19,0,0,0,1
1354,98.73,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,127.9,19,1,0,0,0
514,98.72,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,121.9,40,0,0,0,0
3632,98.71,HIGH RISK,Dropout,Yes,2,10.333333333333334,6,12.166666666666666,110.4,19,0,1,0,0
1245,98.71,HIGH RISK,Dropout,Yes,1,10.0,4,11.75,100.0,31,0,0,0,0
8,98.71,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,113.1,22,0,0,0,1
1729,98.7,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,131.7,18,0,0,0,0
3535,98.7,HIGH RISK,Dropout,Yes,0,0.0,2,11.0,120.5,30,1,0,0,1
3894,98.69,HIGH RISK,Dropout,Yes,2,10.5,1,12.0,110.0,35,0,0,0,0
3876,98.69,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,110.0,27,1,0,0,1
2086,98.68,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,124.0,18,0,0,0,0
3762,98.67,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,125.1,27,0,1,0,0
3310,98.67,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,110.5,31,1,0,0,0
3084,98.67,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,105.5,19,0,1,0,0
3552,98.67,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,139.0,33,0,1,0,1
3538,98.67,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,116.3,32,0,0,0,1
3549,98.67,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,148.0,31,0,0,0,1
94,98.66,HIGH RISK,Dropout,Yes,0,0.0,3,12.666666666666666,115.5,39,1,0,0,0
3075,98.66,HIGH RISK,Dropout,Yes,9,12.22222222222222,12,11.75,120.0,57,0,0,0,1
597,98.66,HIGH RISK,Dropout,Yes,3,10.0,4,12.0,111.5,20,0,0,1,0
1191,98.66,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,140.0,25,1,0,0,0
3683,98.66,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,121.8,36,0,0,0,1
1479,98.66,HIGH RISK,Dropout,Yes,0,0.0,2,14.5,120.0,25,0,1,0,1
948,98.65,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,125.8,22,0,0,1,1
3000,98.65,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,127.0,37,0,0,0,0
2511,98.65,HIGH RISK,Dropout,Yes,0,0.0,5,12.0,154.4,18,0,0,0,0
2875,98.65,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,110.7,50,1,0,0,0
3727,98.65,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,124.3,27,0,0,0,1
2476,98.64,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,151.5,45,0,1,0,1
2837,98.64,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,114.6,46,1,0,0,0
690,98.64,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,116.4,70,0,1,0,1
3058,98.63,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,142.4,32,1,0,0,0
1209,98.63,HIGH RISK,Dropout,Yes,0,0.0,1,11.0,130.0,28,0,0,0,0
4006,98.63,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,112.0,34,1,0,0,1
4035,98.62,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,130.0,38,1,0,0,1
3334,98.62,HIGH RISK,Dropout,Yes,3,10.666666666666666,1,11.0,100.0,27,0,0,0,1
3098,98.61,HIGH RISK,Dropout,Yes,0,0.0,4,11.25,118.3,19,1,0,0,0
754,98.61,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,137.2,32,0,1,0,0
4141,98.61,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,130.0,41,1,1,0,0
867,98.61,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,143.4,29,1,0,0,1
2041,98.59,HIGH RISK,Dropout,Yes,2,11.0,3,11.666666666666666,120.3,20,0,1,0,0
609,98.58,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,117.6,18,1,0,0,0
3849,98.58,HIGH RISK,Dropout,Yes,5,11.6,8,11.88888888888889,100.0,28,0,1,0,1
2034,98.57,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,100.0,51,1,0,0,1
1570,98.57,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,100.0,37,1,0,0,0
2582,98.57,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,115.6,27,0,0,0,0
504,98.56,HIGH RISK,Dropout,Yes,0,0.0,1,12.0,130.0,28,0,0,0,0
2412,98.56,HIGH RISK,Dropout,Yes,0,0.0,4,11.25,116.0,51,0,0,0,0
3224,98.55,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,116.9,26,0,1,0,0
3537,98.55,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,139.0,40,1,0,0,1
1460,98.55,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,112.0,20,0,0,0,1
691,98.53,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,100.9,48,1,0,0,1
2683,98.53,HIGH RISK,Dropout,Yes,1,10.0,0,0.0,120.0,46,0,1,0,1
37,98.53,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,128.8,43,1,0,0,1
497,98.52,HIGH RISK,Dropout,Yes,0,0.0,1,10.0,120.0,29,1,0,0,0
1688,98.51,HIGH RISK,Dropout,Yes,0,0.0,3,12.666666666666666,140.0,38,0,1,0,1
3037,98.51,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,123.0,19,0,0,0,0
2768,98.51,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,115.0,24,0,0,0,0
45,98.5,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,109.7,29,1,0,0,0
1357,98.5,HIGH RISK,Dropout,Yes,0,0.0,4,11.75,102.5,26,1,0,0,0
2505,98.48,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.3,19,1,0,0,0
2487,98.48,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,107.2,42,1,0,0,1
1871,98.47,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,130.6,23,0,1,0,1
1769,98.47,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,140.0,27,1,0,0,1
3768,98.46,HIGH RISK,Dropout,Yes,0,0.0,3,11.333333333333334,115.7,19,0,1,0,0
2474,98.45,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,24,0,0,0,1
3292,98.45,HIGH RISK,Dropout,Yes,0,0.0,1,13.0,113.0,35,0,0,0,1
2554,98.44,HIGH RISK,Dropout,Yes,0,0.0,2,10.5,161.8,33,1,1,0,1
2391,98.43,HIGH RISK,Dropout,Yes,4,12.0,6,11.428571428571429,122.0,25,0,1,0,1
4217,98.43,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,100.0,20,0,1,0,0
883,98.42,HIGH RISK,Dropout,Yes,0,0.0,1,11.0,120.0,31,0,1,0,1
2014,98.42,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,95.5,32,0,1,0,0
2664,98.42,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,96.0,38,0,0,0,1
2121,98.41,HIGH RISK,Dropout,Yes,0,0.0,2,13.0,104.1,21,0,1,1,0
100,98.4,HIGH RISK,Dropout,Yes,0,0.0,4,11.96,111.5,19,0,1,0,0
529,98.4,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,110.3,26,0,1,0,1
1102,98.39,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,121.7,22,0,0,0,0
4254,98.38,HIGH RISK,Dropout,Yes,0,0.0,5,12.2,113.7,19,0,1,0,0
4182,98.38,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,107.7,28,0,1,0,0
2839,98.38,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,140.0,37,0,0,0,0
4307,98.37,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,25,0,0,0,1
1867,98.37,HIGH RISK,Dropout,Yes,0,0.0,2,10.5,121.5,26,0,0,0,1
229,98.36,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,97.0,28,1,0,0,0
2461,98.36,HIGH RISK,Dropout,Yes,0,0.0,4,11.75,132.0,43,1,0,0,1
3488,98.35,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,119.5,19,0,0,0,1
196,98.34,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,152.0,27,1,0,0,0
2462,98.3,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,125.9,18,1,0,0,1
2690,98.29,HIGH RISK,Dropout,Yes,0,0.0,2,12.0,132.8,21,0,0,0,1
4013,98.28,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,130.0,30,1,0,0,0
930,98.28,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,137.0,19,1,0,0,0
3172,98.28,HIGH RISK,Dropout,Yes,4,10.75,5,13.2,123.7,20,0,1,0,0
3948,98.28,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,129.0,21,1,0,0,0
2378,98.27,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,110.0,32,0,0,0,1
1874,98.27,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,97.5,29,1,0,0,1
4416,98.27,HIGH RISK,Dropout,Yes,3,11.083333333333334,3,12.333333333333334,117.8,46,0,1,0,0
262,98.27,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,100.0,34,1,0,0,0
3749,98.26,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,135.1,18,1,1,0,0
2486,98.25,HIGH RISK,Dropout,Yes,1,12.0,4,11.5,100.0,44,0,0,0,1
3774,98.25,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,100.0,26,0,1,1,0
2286,98.24,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,115.8,49,0,0,0,1
2097,98.24,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,140.0,26,1,0,0,0
3862,98.23,HIGH RISK,Dropout,Yes,0,0.0,1,11.0,153.0,18,1,0,1,1
3341,98.21,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,136.1,19,0,0,0,1
2452,98.2,HIGH RISK,Dropout,Yes,0,0.0,4,12.0,120.0,44,0,1,0,1
3426,98.2,HIGH RISK,Dropout,Yes,0,0.0,3,12.333333333333334,96.0,29,0,0,0,0
1527,98.2,HIGH RISK,Dropout,Yes,4,12.6,6,12.5,111.7,19,0,1,0,1
1297,98.2,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,107.0,26,1,0,0,1
2021,98.2,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,107.8,27,0,0,0,1
3191,98.19,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,100.0,29,0,0,0,1
1097,98.18,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,106.5,20,0,1,0,0
1242,98.18,HIGH RISK,Dropout,Yes,3,11.666666666666666,2,11.0,130.0,31,0,0,0,1
1511,98.17,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,126.7,22,0,0,0,1
1676,98.17,HIGH RISK,Dropout,Yes,0,0.0,5,10.4,126.6,18,0,0,0,0
3070,98.17,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,144.0,51,1,0,0,1
1623,98.16,HIGH RISK,Dropout,Yes,4,11.25,6,10.25,150.0,50,0,0,0,0
3364,98.16,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,150.0,38,0,1,0,0
3187,98.16,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,128.2,30,0,0,1,1
2421,98.16,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,150.0,47,1,0,0,1
2855,98.15,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,122.0,19,1,1,0,0
4261,98.14,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,110.0,48,0,1,0,0
2449,98.14,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,98.6,28,0,1,0,1
1446,98.14,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,114.8,18,0,0,0,1
1808,98.14,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,121.4,18,1,0,0,1
772,98.14,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,119.0,18,1,0,0,0
2201,98.13,HIGH RISK,Dropout,Yes,0,0.0,4,12.5,122.0,29,0,1,0,1
952,98.13,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,132.8,45,0,1,0,1
3117,98.13,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,126.8,18,0,1,0,0
1502,98.13,HIGH RISK,Dropout,Yes,0,0.0,1,12.0,119.0,20,1,1,0,1
3590,98.13,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,130.0,27,1,0,0,1
1086,98.12,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,116.5,19,1,0,0,0
3066,98.12,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,113.3,21,1,1,0,0
534,98.12,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,20,0,1,0,1
2192,98.1,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,124.7,18,1,0,0,1
862,98.09,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,28,0,1,0,1
355,98.07,HIGH RISK,Dropout,Yes,0,0.0,5,11.0,120.7,22,0,1,0,0
2757,98.06,HIGH RISK,Dropout,Yes,1,10.0,1,10.0,104.0,26,0,0,0,1
2376,98.06,HIGH RISK,Dropout,Yes,5,11.0,4,13.25,95.0,21,0,0,0,1
576,98.06,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,29,0,0,0,1
1800,98.04,HIGH RISK,Dropout,Yes,0,0.0,3,12.333333333333334,127.3,20,0,1,0,0
4277,98.04,HIGH RISK,Dropout,Yes,0,0.0,1,13.0,114.0,29,0,0,0,1
3,98.04,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,124.8,19,0,0,0,1
669,98.03,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,130.2,19,1,0,0,0
1855,98.03,HIGH RISK,Dropout,Yes,2,10.5,2,11.5,106.3,35,0,1,0,1
3317,98.02,HIGH RISK,Dropout,Yes,2,14.0,1,13.0,120.0,40,0,0,0,1
3846,98.01,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,128.2,27,0,1,0,1
4011,98.01,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,100.0,31,1,0,0,1
2445,98.01,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,142.8,20,1,0,0,1
4195,98.0,HIGH RISK,Dropout,Yes,0,0.0,2,11.5,117.5,22,0,1,0,0
1544,98.0,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,100.0,35,1,0,0,1
802,97.99,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,110.0,18,0,1,0,0
552,97.99,HIGH RISK,Dropout,Yes,4,13.75,4,13.0,115.0,25,0,1,0,1
1868,97.98,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,153.5,31,0,1,0,1
3350,97.98,HIGH RISK,Dropout,Yes,0,0.0,2,12.0,120.0,32,1,1,0,1
1740,97.97,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,126.3,38,0,0,0,1
105,97.97,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,117.4,19,1,0,0,0
1878,97.96,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,123.3,18,1,0,0,1
694,97.95,HIGH RISK,Dropout,Yes,0,0.0,3,11.25,100.0,35,0,1,0,1
515,97.95,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.4,39,0,1,0,0
1767,97.95,HIGH RISK,Dropout,Yes,1,14.0,3,14.333333333333334,100.0,29,0,1,0,0
710,97.95,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,96.0,50,0,1,0,1
3347,97.94,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,108.5,36,1,0,0,1
1677,97.93,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,131.6,19,1,0,0,1
967,97.93,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,130.9,28,0,0,0,1
3090,97.92,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,150.0,27,1,0,0,0
2210,97.9,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,132.4,18,0,1,0,1
3234,97.9,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,111.3,20,1,0,0,0
884,97.88,HIGH RISK,Dropout,Yes,6,11.428571428571429,3,13.0,130.0,32,0,1,0,1
2563,97.88,HIGH RISK,Dropout,Yes,0,0.0,2,10.75,120.0,37,1,0,0,0
2271,97.88,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,140.0,33,0,0,0,1
